usertype,zip_code_start,borough_start,neighborhood_start,zip_code_end,borough_end,neighborhood_end,start_day,stop_day,day_mean_temperature,day_mean_wind_speed,day_total_precipitation,trip_minutes,trip_count
Subscriber,10168,Manhattan,Gramercy Park and Murray Hill,10075,Manhattan,Upper East Side,2020-11-22,2020-11-22,51.2,5.1,0.03,20.0,2
Subscriber,10065,Manhattan,Upper East Side,10075,Manhattan,Upper East Side,2020-10-13,2020-10-13,65.8,2.5,0.01,0.0,3
Subscriber,10021,Manhattan,Upper East Side,10075,Manhattan,Upper East Side,2020-10-08,2020-10-08,63.8,2.9,0.0,100.0,1
Subscriber,10022,Manhattan,Gramercy Park and Murray Hill,10028,Manhattan,Upper East Side,2020-09-19,2020-09-19,74.7,1.8,0.0,20.0,7
Subscriber,10065,Manhattan,Upper East Side,10028,Manhattan,Upper East Side,2020-09-22,2020-09-22,66.8,6.4,0.0,20.0,8
Customer,11201,Brooklyn,Northwest Brooklyn,11101,Queens,Northwest Queens,2020-10-08,2020-10-08,63.8,2.9,0.0,40.0,1
Subscriber,10022,Manhattan,Gramercy Park and Murray Hill,10020,Manhattan,Chelsea and Clinton,2019-03-13,2019-03-13,28.7,11.0,0.35,0.0,1
Subscriber,10128,Manhattan,Upper East Side,10075,Manhattan,Upper East Side,2020-10-18,2020-10-18,43.5,5.0,0.0,10.0,2
Subscriber,11211,Brooklyn,Greenpoint,10028,Manhattan,Upper East Side,2020-11-22,2020-11-22,51.2,5.1,0.03,50.0,1
Subscriber,11217,Brooklyn,Northwest Brooklyn,11222,Brooklyn,Greenpoint,2020-11-16,2020-11-16,58.1,2.9,0.0,30.0,1
Subscriber,10065,Manhattan,Upper East Side,10021,Manhattan,Upper East Side,2020-12-15,2020-12-15,61.8,8.6,0.42,20.0,1
Subscriber,10001,Manhattan,Chelsea and Clinton,11101,Queens,Northwest Queens,2020-09-09,2020-09-09,82.0,4.0,0.0,20.0,1
Subscriber,10020,Manhattan,Chelsea and Clinton,10020,Manhattan,Chelsea and Clinton,2019-04-13,2019-04-13,63.0,4.7,0.0,10.0,2
Subscriber,11101,Queens,Northwest Queens,10028,Manhattan,Upper East Side,2020-12-02,2020-12-02,49.3,2.9,0.21,30.0,1
Subscriber,10016,Manhattan,Gramercy Park and Murray Hill,10028,Manhattan,Upper East Side,2020-11-14,2020-11-14,46.4,8.0,0.0,20.0,4
Subscriber,11206,Brooklyn,Bushwick and Williamsburg,11206,Brooklyn,Bushwick and Williamsburg,2020-10-14,2020-10-14,63.8,3.2,0.0,50.0,1
Subscriber,10036,Manhattan,Chelsea and Clinton,10021,Manhattan,Upper East Side,2020-12-02,2020-12-02,49.3,2.9,0.21,30.0,1
Subscriber,11206,Brooklyn,Bushwick and Williamsburg,11206,Brooklyn,Bushwick and Williamsburg,2020-10-11,2020-10-11,59.3,2.8,0.0,30.0,1
Customer,11201,Brooklyn,Northwest Brooklyn,11206,Brooklyn,Bushwick and Williamsburg,2020-10-19,2020-10-19,42.9,2.2,0.0,40.0,2
Subscriber,10024,Manhattan,Upper West Side,10028,Manhattan,Upper East Side,2020-12-28,2020-12-28,43.6,7.1,0.02,10.0,1
